id,lawd_cd,jibun,umdnm,aptnm,aptdong,floor,buildyear,전용면적타입,전용면적,전용평수,deal_ym,dealyear,dealmonth,dealday,dealamount,buyergbn,cdealday,cdealtype,dealinggbn,estateagentsggnm,landcd,landleaseholdgbn,rgstdate,slergbn,fetched_at
10277,11200,347,행당동,대림e-편한세상,,8,2000,59,59.96,18.2,201501,2015,1,28,38800,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10278,11200,119-1,홍익동,홍익한신,,1,1975,74,74.48,22.6,201501,2015,1,14,25450,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10279,11200,710,성수동1가,강변건영아파트,,18,2002,84,84.952,25.7,201501,2015,1,24,58500,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10280,11200,346,행당동,행당한진타운,,20,2000,59,59.96,18.2,201501,2015,1,15,39200,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10281,11200,60,옥수동,풍림아이원,,8,2004,84,84.767,25.7,201501,2015,1,13,57500,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10282,11200,53,홍익동,청계대주파크빌,,13,2005,84,84.98,25.8,201501,2015,1,31,37500,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10283,11200,1331,금호동3가,두산,,9,1994,116,116.81,35.4,201501,2015,1,23,52300,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10284,11200,633,금호동1가,벽산,,11,2001,84,84.82,25.7,201501,2015,1,20,41900,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10285,11200,1331,금호동3가,두산,,5,1994,59,59.97,18.2,201501,2015,1,16,35500,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10286,11200,346,행당동,행당한진타운,,21,2000,59,59.96,18.2,201501,2015,1,27,39700,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10287,11200,1250,금호동4가,롯데,,16,2003,84,84.99,25.8,201501,2015,1,26,47500,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10288,11200,834,성수동2가,현대I-PARK,,11,2003,104,104.56,31.7,201501,2015,1,7,56400,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10289,11200,685-696,성수동1가,갤러리아포레,,13,2011,170,170.98,51.8,201501,2015,1,15,301000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10290,11200,1818,금호동1가,신금호두산위브,,2,2006,84,84.12,25.5,201501,2015,1,31,45000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10291,11200,1500,금호동1가,금호삼성래미안,,12,2001,59,59.95,18.2,201501,2015,1,21,40600,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10292,11200,715,성수동1가,중앙하이츠빌,,8,2003,84,84.9673,25.7,201501,2015,1,24,53900,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10293,11200,346,행당동,행당한진타운,,2,2000,59,59.96,18.2,201501,2015,1,28,37000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10294,11200,69,도선동,삼성쉐르빌,,23,2006,84,84.93,25.7,201501,2015,1,27,44900,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10295,11200,428,옥수동,극동,,5,1986,57,57.78,17.5,201501,2015,1,17,40000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10296,11200,1331,금호동3가,두산,,5,1994,84,84.99,25.8,201501,2015,1,26,43000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10297,11200,347,행당동,대림e-편한세상,,2,2000,114,114.94,34.8,201501,2015,1,27,58000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10298,11200,990,하왕십리동,한신무학,,4,1989,94,94.46,28.6,201501,2015,1,14,39800,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10299,11200,346,행당동,행당한진타운,,2,2000,59,59.96,18.2,201501,2015,1,23,36500,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10300,11200,712,성수동2가,청구강변1,,10,1994,59,59.94,18.2,201501,2015,1,23,40700,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10301,11200,428,옥수동,극동,,1,1986,57,57.78,17.5,201501,2015,1,11,33000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10302,11200,436,옥수동,극동그린,,7,1997,114,114.32,34.6,201501,2015,1,3,60000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10303,11200,340,금호동4가,서울숲푸르지오,,10,2007,84,84.87,25.7,201501,2015,1,31,65000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10304,11200,4,옥수동,현대,,10,1990,104,104.38,31.6,201501,2015,1,28,68700,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10305,11200,633,금호동1가,벽산,,8,2001,59,59.9,18.2,201501,2015,1,15,32800,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10306,11200,1052,하왕십리동,금호베스트빌,,6,2001,84,84.97,25.7,201501,2015,1,6,39000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10307,11200,90,송정동,건영,,1,2000,110,110.08,33.4,201501,2015,1,10,37750,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10308,11200,90,송정동,건영,,9,2000,59,59.21,17.9,201501,2015,1,17,27700,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10309,11200,833,성수동2가,신성미소지움,,13,2001,59,59.4,18.0,201501,2015,1,8,34700,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10310,11200,1507,금호동4가,브라운스톤금호,,2,2007,84,84.838,25.7,201501,2015,1,30,55000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10311,11200,561,옥수동,래미안 옥수 리버젠,,1,2012,59,59.25,18.0,201501,2015,1,29,50500,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10312,11200,1507,금호동4가,브라운스톤금호,,7,2007,84,84.838,25.7,201501,2015,1,27,54000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10313,11200,442,성수동2가,한신한강,,8,2000,59,59.95,18.2,201501,2015,1,23,44000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10314,11200,1250,금호동4가,롯데,,19,2003,84,84.99,25.8,201501,2015,1,10,50050,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10315,11200,1215,금호동2가,금호자이1차,,6,2012,84,84.97,25.7,201501,2015,1,7,60000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10316,11200,811,상왕십리동,텐즈힐(2단지),,8,2014,59,59.96,18.2,201501,2015,1,28,51800,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10317,11200,1050,하왕십리동,한진해모로,,7,2001,112,112.26,34.0,201501,2015,1,17,47500,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10318,11200,1217,금호동2가,래미안하이리버,,9,2012,59,59.99,18.2,201501,2015,1,26,53500,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10319,11200,1331,금호동3가,두산,,10,1994,79,79.08,24.0,201501,2015,1,19,41900,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10320,11200,1662,금호동3가,금호한신,,12,2005,114,114.76,34.8,201501,2015,1,17,58000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10321,11200,1215,금호동2가,금호자이1차,,7,2012,84,84.98,25.8,201501,2015,1,30,59800,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10322,11200,990,하왕십리동,한신무학,,8,1989,75,75.2,22.8,201501,2015,1,10,36000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10323,11200,252,용답동,덕현해밀,,9,2014,51,51.04,15.5,201501,2015,1,12,28000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10324,11200,715,성수동1가,중앙하이츠빌,,1,2003,84,84.9673,25.7,201501,2015,1,21,47500,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10325,11200,346,행당동,행당한진타운,,23,2000,59,59.96,18.2,201501,2015,1,27,40700,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10326,11200,275,응봉동,신동아,,3,1996,59,59.97,18.2,201501,2015,1,18,29500,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10327,11200,199,사근동,중앙하이츠,,11,1989,71,71.85,21.8,201501,2015,1,2,30000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
